realdonaldtrump,6918
trump,2942
great,2904
thank,1620
thanks,1425
president,1401
donald,1256
would,1132
obama,1101
people,1013
about,979
should,920
country,801
america,760
think,743
never,698
don't,688
going,655
#trump2016,623
really,557
barackobama,556
hillary,525
today,497
there,472
can't,463
their,460
(cont),446
being,431
thanks!,423
please,420
interview,419
watch,417
tonight,414
china,406
world,395
right,395
always,384
doing,379
apprentice,371
business,371
apprenticenbc,370
obamacare,366
amazing,365
better,360
because,357
first,356
you're,354
night,349
course,342
needs,329
years,323
again,323
money,314
looking,313
clinton,312
great!,309
after,309
american,307
could,299
foxandfriends,299
#celebapprentice,292
national,292
happy,291
another,288
again!,286
#makeamericagreatagain,283
true!,282
forward,280
believe,262
celebrity,253
success,251
record,249
every,246
foxnews,245
mittromney,242
crooked,237
other,237
where,235
total,233
against,232
beautiful,230
season,228
nothing,226
congratulations,225
hotel,224
tomorrow,223
smart,221
doesn't,219
everyone,217
election,216
which,216
things,213
watching,213
campaign,212
media,210
speech,209
office,207
remember,205
tower,201
still,200
house,197
discussing,196
fantastic,193
getting,193
morning,191
debate,190
that's,188
while,187
million,186
agree,186
running,186
wonderful,185
state,183
making,182
ratings,180
before,180
person,177
totally,174
thing,174
leader,173
change,172
wants,170
scotland,170
strong,167
support,167
yesterday,167
economy,165
entrepreneurs:,162
states,161
these,161
president!,161
start,160
without,160
tough,160
americans,159
washington,159
under,159
ivankatrump,157
terrible,157
leadership,155
united,155
republicans,155
place,154
government,153
looks,153
white,153
everything,152
republican,151
bring,151
someone,150
yourself,149
trump:,147
building,147
enjoy!,146
coming,145
#celebrityapprentice,145
party,144
times,143
greatest,142
doral,141
since,139
family,139
wrong,138
major,138
won't,138
chicago,138
fight,136
story,135
during,135
those,135
trump!,135
proud,134
together,134
friends,134
attack,133
something,133
successful,131
awesome,131
focus,131
anyone,130
didn't,129
knows,128
until,128
realdonaldtrump:,127
called,127
celebapprentice,126
failing,126
leaders,125
having,125
truly,125
barackobama's,125
obama's,125
champion,124
anything,124
makes,123
global,123
energy,123
others,123
saying,122
enough,121
respect,121
presidential,121
disaster,120
birthday,119
working,118
become,118
already,118
donaldtrump,118
winning,116
massive,116
congrats,115
friend,114
military,114
meeting,114
numbers,113
history,113
international,111
important,111
spending,111
problems,110
taxes,109
problem,109
honor,109
twitter,109
worst,108
interviewed,107
failed,107
sunday,107
around,107
check,106
through,105
russia,105
point,104
millions,104
ready,104
stupid,104
north,103
interesting,103
talking,103
favorite,103
words,103
learn,102
enjoy,102
#maga,102
women,102
warming,101
little,101
order,101
florida,101
shows,99
build,99
#timetogettough,98
political,98
thinking,98
actually,98
nytimes,97
speak,97
press,96
loved,96
isn't,95
trumpdoral,95
megynkelly,94
trade,94
monday,94
oreillyfactor,94
special,93
wonder,93
border,93
truth,93
public,93
obamas,93
#americafirst,92
democrats,92
trying,91
let's,91
power,91
candidate,91
tremendous,91
touch,90
security,90
economic,90
taking,90
chance,90
absolutely,89
worse,89
future,88
follow,88
ebola,88
biggest,88
charity,88
cannot,88
crowd,87
mexico,87
haters,87
